part_number,description,unit,category,related_equipment,par_level
85783405,CONN 1/2BARBX1/2MNPT BRS,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
85613010,CONN 1/2SHRKBTX1/2FNPT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
85613009,CONN 1/2SHRKBTX1/2MNPT,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
85613017,CONN 1/2SHRKBTX1/2SHRKBT,Each,Equipment,EQUIPMENT AND SPARE PARTS,6
85613020,CONN 1/2SHRKBTX3/4MNPT,Each,Equipment,EQUIPMENT AND SPARE PARTS,6
83114006,CONN 2POS TERM BLK 20A 400V,Each,Equipment,EQUIPMENT AND SPARE PARTS,10
85613018,CONN 3/4SHRKBTX3/4SHRKBT,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
85615359,CONN 3/8TX1/4MNPT PUSH MG,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85615425,CONN 3/8TX3/8MNPT PP PUSHIN,Each,Equipment,EQUIPMENT AND SPARE PARTS,23
83114007,CONN 3POS TERM BLK 20A 400V,Each,Equipment,EQUIPMENT AND SPARE PARTS,10
83114008,CONN 5POS TERM BLK 20A 400V,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
83311555,CONN CND 1/2 NYL LIQT,Each,Equipment,EQUIPMENT AND SPARE PARTS,18
83311589,CONN CND 1/2 NYL LIQT ADJ,Each,Equipment,EQUIPMENT AND SPARE PARTS,27
85615540,CONN UN 1/4 PP PUSHIN,Each,Equipment,EQUIPMENT AND SPARE PARTS,22
85615557,CONN UN 3/8 PP PUSHIN,Each,Equipment,EQUIPMENT AND SPARE PARTS,22
53001038,CONT TEMP SGL RGLTG DM,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
83008250,CONTR 2P 120V 25A NO,Each,Equipment,WAREWASHING EQUIPMENT,5
83008110,CONTR 2P 240V 30A NO,Each,Equipment,WAREWASHING EQUIPMENT,9
50002521,CONTR 3P 120V 12A,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
83000828,CONTR 3P 120V 50A,Each,Equipment,WAREWASHING EQUIPMENT,4
83000836,CONTR 4P 120V 50A,Each,Equipment,WAREWASHING EQUIPMENT,4
83000835,CONTR 4P 208-240V 50A RES,Each,Equipment,WAREWASHING EQUIPMENT,4
96022010,CONTR HTR 3P 50A 110V COIL,Each,Equipment,WAREWASHING EQUIPMENT,4
96662061,COV SW MAG DM LG,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
96662062,COV SW MAG DM SHT,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
96021084,CSTG PAWL BAR ES44,Each,Equipment,WAREWASHING EQUIPMENT,4
