part_number,description,unit,category,related_equipment,par_level
96027990,SW REED 120VAC 840 MA,Each,Equipment,EQUIPMENT AND SPARE PARTS,13
96021464,SW REED MAG ES44,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92520790,SWIVEL ASSY 15-30 GAL,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92520782,SWIVEL ASSY 5 GAL,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
92151132,SWSHNWLK INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
89990790,TAPE DBL BACK 1/2W,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
89990782,TAPE DBL BACK 1W,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
85015154,TBG FLX .125X.023 PP,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85015220,TBG FLX .250X.040 PE BLK,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85015170,TBG FLX .250X.040 PP,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
50002534,TBG FLX .250X.062 TYGN CLR,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
85015188,TBG FLX .375X.062 PP,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85015378,TBG FLX .375X.062X100 PVC,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
96562673,TBG FLX .397X.105X8 TYGON,Each,Equipment,EQUIPMENT AND SPARE PARTS,25
96572004,TBG FLX .429X.134X8 NPRN,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
85015152,TBG FLX .438X.094X6-5/8,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
85015201,TBG FLX .500X.0625X50 EVA,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
92510742,TBG FLX .62X.135X14 EPDM,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
84804962,TBG FLX .750X.125 PVC REINF,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
85017119,TBG FLX 3/8X3/16X8 SILCNE,Each,Equipment,EQUIPMENT AND SPARE PARTS,10
85643004,TEE 1/2TX1/2CPX1/4CP BRS,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
85643005,TEE 1/2TX1/2CPX3/8CP BRS,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
85643002,TEE 3/8TX3/8CPX1/4CP BRS,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85643003,TEE 3/8TX3/8CPX3/8CP BRS,Each,Equipment,EQUIPMENT AND SPARE PARTS,19
85745107,HOSE BARB TEE 3/8HSX3/8HSX3/8HS HDPE BLK,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85643070,TEE UN 3/8T BRS SA,Each,Equipment,EQUIPMENT AND SPARE PARTS,10
85645307,TEE UN 3/8T KYN,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
85545077,TEE UN 3/8T PP EP PUSHIN,Each,Equipment,EQUIPMENT AND SPARE PARTS,23
89009138,THERM DIAL 50-300DEG1/4MNPT,Each,Equipment,WAREWASHING EQUIPMENT,9
89005149,THERMO BULB&CPLRY 220 FIXED,Each,Equipment,WAREWASHING EQUIPMENT,9
89005145,THERMO PRB 170DEG,Each,Equipment,WAREWASHING EQUIPMENT,13
89005148,THERMO PRB 185DEG ADJ,Each,Equipment,WAREWASHING EQUIPMENT,3
96021324,THERMOMETER 48 LEAD ES44,Each,Equipment,WAREWASHING EQUIPMENT,4
96021316,THERMOMETER 96 LEAD ES44,Each,Equipment,WAREWASHING EQUIPMENT,10
96631365,THERMOSTAT OMEGA 5E,Each,Equipment,WAREWASHING EQUIPMENT,9
53001036,THRMS 10K .25DIAX4.3L SST,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96542093,TMR CKT BD M/D 14SEC-RNS,Each,Equipment,WAREWASHING EQUIPMENT,4
92022989,TRAY DRIP NEXA/PRIMALINE W/TAPE BLK,Each,Equipment,HAND AND SKIN HYGIENE,3
92022993,TRAY DRIP NEXA/PRIMALINE W/TAPE WHT,Each,Equipment,HAND AND SKIN HYGIENE,3
92152980,TRAY DRIP OP SEL4/ULTRA1WHT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
53006083,TRUPOWER ENZY MNL DTRG&SOAK INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96570528,TS QIK RLSE 1/4-20SPY BASE,Each,Equipment,WAREWASHING EQUIPMENT,13
92581131,TSTAR XP 4PMP INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
92583681,TSTAR XP II MACH INTFC,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96542809,TUBE DTRG .25X8.25 SNTPRN,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92631126,TUBE NUT & SLV 1/4 IN 10 PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,15
92631127,TUBE NUT & SLV 3/8 IN 10PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
83100537,TWIN TAB ADPT 1/4,Each,Equipment,WAREWASHING EQUIPMENT,3
85725000,UN BARB 3/8X3/8 KYN,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
92591262,UNIV FLUSH MANIFOLD PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
96521026,UPR RNS ASSY LOW FLW EC,Each,Equipment,WAREWASHING EQUIPMENT,2
85242502,VAC BRKR 1/2 BRCP PLSTC BNT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85284156,VAC BRKR 1/2 RPR KIT WATTS,Each,Equipment,WAREWASHING EQUIPMENT,20
92001478,VAC BRKR 1/2RPR W/CAP WATTS,Each,Equipment,WAREWASHING EQUIPMENT,5
85242501,VAC BRKR 1/4 BRCP,Each,Equipment,WAREWASHING EQUIPMENT,4
85280071,VAC BRKR 1/4-3/8 RPR WATTS,Each,Equipment,WAREWASHING EQUIPMENT,7
85242626,VAC BRKR 3/4 BRCP,Each,Equipment,WAREWASHING EQUIPMENT,4
85284164,VAC BRKR 3/4 RPR KIT WATTS,Each,Equipment,WAREWASHING EQUIPMENT,20
85254000,VLV BALL 1/4MNPTX1/4FNPTPVC,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
85244259,VLV CHK 1/4BARB PVC,Each,Equipment,EQUIPMENT AND SPARE PARTS,23
85244473,VLV CHK 1/4FNPTX1/4MNPT PVC,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
85244184,VLV CHK 1/4MNPTX3/8BARB PVC WHT,Each,Equipment,EQUIPMENT AND SPARE PARTS,18
50000514,VLV CHK 1/8BARB 125PSI PP,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
50001357,VLV CHK 1/8BARBX1/8OD PVDF,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85244201,VLV CHK 3/8BARBX1/4MNPT KYN,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
85244242,VLV CHK 3/8BARBX1/4MNPT PVC,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
85244034,VLV CHK SWG 1 SKT CLR PVC,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
93022464,VLV FLT 3/4MNPTX3/4SPGT PVC PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85793024,VLV HOSE Y 3/4 BRASS,Each,Equipment,EQUIPMENT AND SPARE PARTS,15
85283779,VLV RPR KIT 3/8 MAG OPRDEMA,Each,Equipment,EQUIPMENT AND SPARE PARTS,18
85254013,VLV SHUT OFF 3/8 PUSHIN,Each,Equipment,EQUIPMENT AND SPARE PARTS,14
96580683,VLV SLND 120/220V JP24,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96552567,WASH ARM BEARING ASSY,Each,Equipment,WAREWASHING EQUIPMENT,13
92371103,WASH MAX DISPENSER PKD,Each,Equipment,KITCHEN HYGIENE,2
96552542,WASHARM END CAP,Each,Equipment,WAREWASHING EQUIPMENT,20
92002142,WRENCH BUNG MULT-CLOS NYL,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
96560396,WSHR FLAT HVY MOT END,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
92102136,XFMR 115/200/230/460X22.5,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
83904029,XFMR 115/230X22 30VA FT MT,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
96021167,XFMR 230/460X115 150VA,Each,Equipment,WAREWASHING EQUIPMENT,4
92592056,XPERT REPL PERSTLC TBG EPDM,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
53001839,SCLS 3WSHR DISP 120V RPR,Each,Equipment,EQUIPMENT AND SPARE PARTS,0
