Abbreviation,Term
Mot,Motor
Gskt,Gasket
CNVR,Conveyor
prb,Probe
TBG,Tubing
Conn,Connector
VLV,Valve
UN,Union
DRN,Drain
VAC BRKR,Vacuum Breaker
Magnet,Magnet
Disconn,Disconnect
sw,switch
orng,O Ring
Thermometer,Thermometer
Adptr,Adapter
Hose,Hose
Barb,Barb
Wshr,Washer
Check Valve,Check Valve
Perstlc,Peristaltic
contr,Contactor
